"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"10.30";"10.31";"9.73";"9.77";"22/03/2019 17:35";"CET";"1122268";"11085660.565"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"7.27";"7.27";"6.96";"6.99";"22/03/2019 22:35";"BST";"767997";"5438031.71"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"5.78";"5.78";"5.64";"5.68";"22/03/2019 17:35";"CET";"1195";"6828.10"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"0.574";"0.574";"0.574";"0.574";"22/03/2019 14:44";"CET";"1";"0.574"
"ALVEEN";"FR0013253812";"MLALV";"Euronext Access Paris";"EUR";"0.8052";"0.8052";"0.8052";"0.8052";"18/03/2019 11:30";"CET";"600";"483.12"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Euronext Access Paris";"EUR";"0.178";"0.178";"0.178";"0.178";"22/03/2019 11:30";"CET";"104";"18.512"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"29.00";"29.22";"27.90";"27.90";"22/03/2019 17:38";"CET";"353772";"9993709.96"
"AMINEX PLC";"IE0003073255";"DOP";"Euronext Dublin";"EUR";"0.0131";"0.0131";"0.0131";"0.0131";"21/03/2019 13:39";"UTC";"55000";"720.50"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"2.44";"2.455";"2.35";"2.35";"22/03/2019 17:23";"CET";"51651";"123541.18"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"2.77";"2.77";"2.75";"2.76";"22/03/2019 17:35";"CET";"9129";"25148.33"
"AMRYT PHARMA PLC";"GB00BDD1LS57";"AYP";"Euronext Growth Dublin";"EUR";"0.16";"0.16";"0.16";"0.16";"20/03/2019 15:02";"UTC";"25000";"4000.00"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"19.94";"19.96";"19.54";"19.62";"22/03/2019 17:35";"CET";"4755";"93935.98"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"57.70";"57.74";"55.46";"55.72";"22/03/2019 17:35";"CET";"311623";"17453963.72"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"2.85";"2.92";"2.77";"2.92";"22/03/2019 17:08";"CET";"1563";"4432.82"
"ANEVIA";"FR0011910652";"ALANV";"Euronext Growth Paris";"EUR";"1.875";"1.905";"1.875";"1.905";"22/03/2019 16:19";"CET";"1001";"1896.89"
"ANEVIA BSA 2018";"FR0013391182";"ANVBS";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ANTALIS";"FR0013258589";"ANTA";"Euronext Paris";"EUR";"1.112";"1.128";"1.112";"1.12";"22/03/2019 16:33";"CET";"14330";"16085.792"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"54.05";"54.05";"54.05";"54.05";"22/03/2019 16:30";"CET";"50";"2702.50"
"ANTEVENIO";"ES0109429037";"ALANT";"Euronext Growth Paris";"EUR";"6.60";"6.62";"6.60";"6.62";"22/03/2019 09:10";"CET";"185";"1224.68"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"0.13";"0.13";"0.13";"0.13";"22/03/2019 15:20";"CET";"101500";"13195.00"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"28.32";"28.32";"25.82";"25.86";"22/03/2019 17:35";"CET";"572943";"15234905.51"
"APPLEGREEN PLC";"IE00BXC8D038";"APGN";"Euronext Growth Dublin";"EUR";"5.80";"5.80";"5.66";"5.66";"20/03/2019 16:25";"UTC";"16216";"93446.06"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"21.20";"21.30";"21.20";"21.20";"22/03/2019 17:35";"CET";"7336";"155538.90"
"AQUILA";"FR0010340711";"ALAQU";"Euronext Growth Paris";"EUR";"7.05";"7.05";"7.05";"7.05";"22/03/2019 11:30";"CET";"17";"119.85"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"14.17";"14.58";"13.96";"14.03";"22/03/2019 17:36";"CET";"285073";"4041225.36"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"19.40";"19.496";"18.30";"18.368";"22/03/2019 17:39";"CET";"8322915";"155439570.576"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"0.288";"0.289";"0.2725";"0.2765";"22/03/2019 17:35";"CET";"514580";"145301.3025"
"ARCURE";"FR0013398997";"ALCUR";"Euronext Growth Paris";"EUR";"7.60";"7.64";"7.40";"7.40";"22/03/2019 16:16";"CET";"3040";"22936.29"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Euronext Access Paris";"EUR";"140.00";"140.00";"140.00";"140.00";"22/03/2019 16:30";"CET";"2";"280.00"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Euronext Access Paris";"EUR";"80.00";"80.00";"80.00";"80.00";"07/09/2016 15:30";"CET";"4";"320.00"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"56.60";"57.40";"54.40";"56.40";"22/03/2019 17:35";"CET";"2650";"149140.00"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"117.00";"117.00";"112.40";"112.60";"22/03/2019 17:35";"CET";"115339";"13186342.20"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"90.10";"90.50";"85.84";"85.84";"22/03/2019 17:35";"CET";"315671";"27617666.62"
"ARKEMA NV19";"FR0013385663";"AKENV";"Euronext Paris";"EUR";"80.10";"87.34";"80.10";"87.34";"21/03/2019 16:32";"CET";"850";"69895.00"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"14.70";"14.70";"14.70";"14.70";"22/03/2019 09:00";"CET";"1";"14.70"
"ARTEFACT";"FR0000079683";"ALATF";"Euronext Growth Paris";"EUR";"2.38";"2.39";"2.33";"2.37";"22/03/2019 17:35";"CET";"15618";"36867.26"
"ARTHUR MAURY";"FR0013268067";"MLAMY";"Euronext Access Paris";"EUR";"3.60";"3.60";"3.60";"3.60";"19/01/2018 14:38";"CET";"6600";"23760.00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"5400.00";"5400.00";"5400.00";"5400.00";"22/03/2019 16:30";"CET";"4";"21600.00"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"13.28";"13.34";"13.12";"13.32";"22/03/2019 17:35";"CET";"1282";"17046.56"
"ARYZTA AG";"CH0043238366";"YZA";"Euronext Dublin";"EUR";"1.294";"1.294";"1.24";"1.24";"21/03/2019 16:30";"UTC";"63717";"80863.52"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"56.60";"57.40";"56.60";"57.00";"22/03/2019 17:36";"CET";"15793";"899954.20"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Euronext Access Paris";"EUR";"1.65";"1.65";"1.65";"1.65";"04/03/2019 16:30";"CET";"630";"1039.50"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"1.79";"1.79";"1.70";"1.70";"22/03/2019 17:18";"CET";"64645";"111004.54"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"48.90";"49.49";"47.58";"47.70";"22/03/2019 17:35";"CET";"271490";"13143633.89"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"170.50";"171.98";"166.72";"167.30";"22/03/2019 17:35";"CET";"1264398";"213350326.16"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"37.20";"37.24";"36.56";"36.64";"22/03/2019 17:35";"CET";"379469";"13931678.26"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"16.41";"16.41";"16.41";"16.41";"18/03/2019 09:00";"CET";"200";"3282.00"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Euronext Growth Paris";"EUR";"1.95";"1.95";"1.95";"1.95";"27/11/2018 14:07";"CET";"200";"390.00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"32.60";"32.70";"31.70";"31.70";"22/03/2019 17:35";"CET";"9151";"291133.15"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0.3285";"0.3325";"0.312";"0.32";"22/03/2019 17:35";"CET";"1327362";"428487.6575"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"10.50";"10.54";"10.46";"10.48";"22/03/2019 17:35";"CET";"10906";"114604.62"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"62.00";"63.60";"62.00";"63.00";"22/03/2019 17:35";"CET";"6213";"389695.00"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"87.60";"88.24";"85.04";"85.48";"22/03/2019 17:35";"CET";"357731";"30682573.78"
"ATOS NV19";"FR0013384641";"ATONV";"Euronext Paris";"EUR";"83.90";"83.90";"83.90";"83.90";"22/03/2019 11:30";"CET";"1";"83.90"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"3.36";"3.375";"3.36";"3.375";"22/03/2019 10:44";"CET";"1305";"4384.875"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"30.00";"30.40";"29.80";"30.10";"22/03/2019 17:35";"CET";"18399";"554369.80"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Euronext Access Paris";"EUR";"7.70";"7.70";"7.70";"7.70";"22/05/2018 16:30";"CET";"13";"100.10"
"AUDIOVALLEY";"BE0974334667";"ALAVY";"Euronext Growth Paris, Brussels";"EUR";"4.541";"4.6695";"4.541";"4.6695";"22/03/2019 11:48";"CET";"251";"1147.8935"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"8.10";"8.10";"8.10";"8.10";"13/03/2019 16:30";"CET";"8";"64.80"
"AUPLATA";"FR0010397760";"ALAUP";"Euronext Growth Paris";"EUR";"0.046";"0.0465";"0.045";"0.0465";"22/03/2019 17:35";"CET";"3884371";"177658.2741"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"5.68";"5.74";"5.64";"5.64";"22/03/2019 17:07";"CET";"1524";"8677.46"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"30.75";"30.75";"29.60";"29.65";"22/03/2019 17:29";"CET";"2880";"86650.30"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"2.635";"2.64";"2.565";"2.63";"22/03/2019 17:29";"CET";"14487";"37785.375"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0.129";"0.1435";"0.1285";"0.1325";"22/03/2019 17:35";"CET";"1083147";"146707.1705"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"1.64";"1.65";"1.59";"1.60";"22/03/2019 17:25";"CET";"31043";"50466.70"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"22.61";"22.70";"22.195";"22.33";"22/03/2019 17:37";"CET";"9061492";"202583298.50"
"AXA NV19";"FR0013383528";"CSNV";"Euronext Paris";"EUR";"20.965";"20.965";"20.895";"20.895";"22/03/2019 16:30";"CET";"22943";"480982.845"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"11.58";"11.60";"11.30";"11.30";"22/03/2019 17:35";"CET";"4024";"46083.40"
"AZ LEASING";"IT0004812258";"MLAZL";"Euronext Access Paris";"EUR";"1.40";"1.40";"1.40";"1.40";"21/12/2018 11:30";"CET";"2";"2.80"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Euronext Access Paris";"EUR";"0.046";"0.046";"0.046";"0.046";"22/03/2019 11:30";"CET";"4020";"184.92"
"B&S Group";"LU1789205884";"BSGR";"Euronext Amsterdam";"EUR";"11.85";"11.85";"11.314";"11.314";"22/03/2019 17:35";"CET";"38290";"448820.87"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0.2287";"0.2287";"0.2205";"0.2215";"22/03/2019 22:35";"BST";"58660111";"13088987.7794"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"200.00";"200.00";"200.00";"200.00";"21/03/2019 16:30";"CET";"3";"600.00"
"BAIKOWSKI";"FR0013384369";"ALBKK";"Euronext Growth Paris";"EUR";"14.50";"14.56";"14.50";"14.56";"22/03/2019 17:35";"CET";"17948";"260248.16"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"47.00";"48.00";"46.50";"47.50";"22/03/2019 17:22";"CET";"1069";"50866.90"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"3.15";"3.15";"3.10";"3.10";"22/03/2019 16:17";"CET";"7336";"22993.56"
"BALYO";"FR0013258399";"BALYO";"Euronext Paris";"EUR";"3.735";"3.77";"3.60";"3.63";"22/03/2019 17:35";"CET";"31574";"115477.255"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"3.866";"3.878";"3.714";"3.721";"22/03/2019 16:36";"CET";"2220975";"8360108.821"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"5.565";"5.565";"5.565";"5.565";"19/03/2019 14:57";"CET";"5865";"32638.73"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"4.321";"4.321";"4.321";"4.321";"21/03/2019 15:19";"CET";"300";"1296.30"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.44";"3.47";"3.44";"3.47";"22/03/2019 09:41";"CET";"2928";"10101.92"
"BANK OF IR NC PREF";"IE0000730790";"DD7E";"Euronext Dublin";"EUR";"24.00";"24.05";"24.00";"24.05";"31/01/2019 23:00";"UTC";"2200";"52855.00"
"BANK OF IR NCP STF";"IE0000730808";"DD7D";"Euronext Dublin";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BANK OF IRELAND GP";"IE00BD1RP616";"BIRG";"Euronext Dublin";"EUR";"5.56";"5.62";"5.37";"5.37";"21/03/2019 16:31";"UTC";"2926225";"15841089.22"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"6.40";"6.40";"6.40";"6.40";"21/03/2019 11:30";"CET";"200";"1280.00"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"135.00";"135.00";"131.20";"132.40";"22/03/2019 17:35";"CET";"22427";"2977263.40"
